"Record_ID#","SALARY","ROOKIE","POS","G","PA","AB","H","1B","2B","3B","HR","TB","BB","UBB","IBB","HBP","SF","SH","ROE","RBI","LEADOFF_PA","DP","TP","WP","PB","END_GAME","SO","BK","INTERFERENCE","FC","TOB","OUT","SIT_DP","GIDP","PITCHES","BALLS","STRIKES","FB","GB","LD","POP","Batted Balls","PA_P","PA_C","PA_1B","PA_2B","PA_3B","PA_SS","PA_LF","PA_CF","PA_RF","PA_DH","PA_PH","PA_PR","G_P","G_C","G_1B","G_2B","G_3B","G_SS","G_LF","G_CF","G_RF","G_DH","G_PH","G_PR","AVG","OBP","SLG","D_ISO","TBP","BBr","UBBr","IBBR","SO/BB","ABR","HITR","B1R","B2R","B3R","HRr","HBPR","SFR","SHR","ROEr","SOr","OUTR","NSOR","RBIR","LEADOFFR","END_GAMER","DP%","FB%","GB%","LD%","POP%","SB","CS","PICKOFF","R","SB%","RUNR","D_BPF","PA%","D_MLVr","D_PMLVr","D_RPMLVr","D_VORPr","D_MLV","D_PMLV","D_RPMLV","D_VORP","D_NETDP","D_EqA","D_EqR","D_RAR","D_RAP","D_RARP","D_OUTS_EQ","PA_ROB","R1","R2","R3","R1_BI","R2_BI","R3_BI","ROB","OBI","R1BI%","R2BI%","R3BI%","OBI%"
1,3750000,0,2,85,288,245,58,40,12,0,6,88,38,37,1,1,1,3,4,30,63,7,0,1,2,7,38,0,0,0,97,187,51,6,1154,462,692,55,94,34,28,211,0,273,0,0,0,0,0,0,0,8,7,0,0,79,0,0,0,0,0,0,0,3,7,0,0.24,0.34,0.36,0.12,0.31,0.13,0.13,0,1,0.85,0.2,0.14,0.04,0,0.02,0,0,0.01,0.01,0.13,0.65,0.52,0.1,0.22,0.02,11.8,26.1,44.6,16.1,13.3,2,1,0,29,66.7,0.1,99.71,4.7,-0.08,-0.03,0.06,0.06,-5.4,-1.7,4,4,0.47,0.26,31.7,7.3,1.5,10.2,192,134,89,75,39,2,9,13,203,24,2.2,12,33.3,11.8
2,3175000,0,2,54,128,120,35,29,3,0,3,47,6,5,1,0,0,2,0,12,27,4,0,0,0,4,22,0,0,0,41,87,33,4,447,149,298,33,43,17,8,101,0,109,1,0,0,0,0,0,0,0,18,0,0,45,1,0,0,0,0,0,0,0,18,0,0.29,0.33,0.39,0.1,0.37,0.05,0.04,0.01,3.67,0.94,0.27,0.23,0.02,0,0.02,0,0,0.02,0,0.17,0.68,0.51,0.09,0.21,0.03,12.1,32.7,42.6,16.8,7.9,0,0,0,15,0,0.12,100.76,2,-0.03,0.03,0.11,0.11,-0.9,1,3.09,3.1,0.42,0.25,13.2,2.2,-1.1,2.8,87,73,52,37,18,1,2,6,107,9,1.9,5.4,33.3,8.4
7,7500000,0,7,15,54,49,17,15,2,0,0,19,2,2,0,2,1,0,2,9,12,1,0,0,0,0,4,0,0,0,21,31,12,1,152,58,94,11,20,11,4,46,0,0,0,0,0,0,49,0,0,4,1,0,0,0,0,0,0,0,13,0,0,1,1,0,0.35,0.39,0.39,0.04,0.35,0.04,0.04,0,2,0.91,0.31,0.28,0.04,0,0,0.04,0.02,0,0.04,0.07,0.57,0.5,0.17,0.22,0,8.3,23.9,43.5,23.9,8.7,1,1,1,4,50,0.07,98.77,0.8,0.13,0.08,0.2,0.18,1.6,1,2.49,2.2,-0.3,0.29,7.4,3.1,0.8,2.4,34,24,16,10,7,0,4,5,33,9,0,40,71.4,27.3
9,3000000,0,8,123,392,366,75,46,17,2,10,126,16,16,0,1,4,5,7,34,120,5,0,2,1,8,57,0,0,3,92,290,74,3,1299,414,885,85,160,43,30,318,0,0,0,0,0,0,0,370,0,0,22,0,0,0,0,0,0,0,0,124,0,0,22,5,0.21,0.24,0.34,0.14,0.32,0.04,0.04,0,3.56,0.93,0.19,0.12,0.04,0.01,0.03,0,0.01,0.01,0.02,0.15,0.74,0.59,0.09,0.31,0.02,4.1,26.7,50.3,13.5,9.4,14,9,3,46,60.9,0.12,100.41,6.3,-0.31,-0.31,-0.2,-0.21,-28.4,-28.6,-18.02,-19.2,-5.02,0.21,29.3,-9.9,-26.2,-12.1,309,153,114,67,37,3,6,15,218,24,2.6,9,40.5,11
10,700000,0,2,100,377,349,87,53,23,0,11,143,17,17,0,7,4,0,2,49,70,10,0,3,2,2,61,1,0,0,111,264,82,9,1458,465,993,101,109,47,35,292,0,356,14,0,0,0,0,0,0,5,2,0,0,98,4,0,0,0,0,0,0,2,2,0,0.25,0.29,0.41,0.16,0.38,0.05,0.05,0,3.59,0.93,0.23,0.14,0.06,0,0.03,0.02,0.01,0,0.01,0.16,0.7,0.54,0.13,0.19,0.01,11,34.6,37.3,16.1,12,0,0,0,44,0,0.12,99.85,6.1,-0.09,-0.04,0.05,0.05,-7.5,-3.3,4.6,4.6,0.11,0.25,40.5,6.7,-1.1,11,266,190,147,76,52,10,11,17,275,38,6.8,14.5,32.7,13.8
12,4500000,0,3,134,440,407,115,83,21,1,10,168,30,26,4,1,2,0,4,52,91,12,0,1,0,7,56,0,0,2,146,288,78,11,1562,559,1003,108,142,69,34,353,0,0,213,1,195,0,0,0,0,8,23,0,0,0,82,1,63,0,0,0,0,2,23,0,0.28,0.33,0.41,0.13,0.38,0.07,0.06,0.01,1.87,0.93,0.26,0.19,0.05,0,0.02,0,0,0,0.01,0.13,0.65,0.53,0.12,0.21,0.02,14.1,30.6,40.2,19.5,9.6,1,1,1,33,50,0.08,99.91,7.2,0.01,-0.05,0.08,0.08,0.9,-5.3,8.83,8.5,2.54,0.26,51.1,13.7,-6.2,7.2,295,198,145,92,50,9,14,19,287,42,6.2,15.2,38,14.6
13,3000000,0,2,68,261,236,58,35,17,0,6,93,12,12,0,5,3,5,5,31,56,11,0,3,0,4,44,1,0,0,75,181,53,10,925,333,592,60,103,29,8,200,0,257,0,0,0,0,0,0,0,0,4,0,0,67,0,0,0,0,0,0,0,0,4,0,0.25,0.29,0.39,0.15,0.36,0.05,0.05,0,3.67,0.9,0.22,0.13,0.07,0,0.02,0.02,0.01,0.02,0.02,0.17,0.69,0.52,0.12,0.21,0.02,18.9,30,51.5,14.5,4,0,4,0,19,0,0.07,102.51,4.1,-0.13,-0.07,0.01,-0.03,-7.7,-4.3,0.76,-1.6,4.25,0.23,24.7,0.6,-4.8,3.8,190,123,84,59,27,6,9,10,170,25,7.1,15.3,37,14.7
14,6250000,0,4,85,359,298,73,62,7,1,3,91,50,48,2,2,2,7,4,28,63,16,0,4,1,8,35,0,0,1,125,229,59,13,1543,651,892,30,187,38,17,272,0,0,0,353,0,0,0,0,0,0,6,0,0,0,0,81,0,0,0,0,0,0,6,0,0.25,0.36,0.31,0.06,0.25,0.14,0.13,0.01,0.7,0.83,0.2,0.17,0.02,0,0.01,0.01,0.01,0.02,0.01,0.1,0.64,0.54,0.08,0.18,0.02,22,11,68.8,14,6.3,17,2,2,46,89.5,0.13,98.05,5.6,-0.11,-0.11,0,0.05,-8.9,-9.4,0.41,4.3,6.6,0.26,40.9,11,-0.3,10.5,236,158,99,84,43,1,5,19,226,25,1,6,44.2,11.1
16,1050000,0,11,87,151,138,29,22,6,0,1,38,9,9,0,0,2,2,3,10,40,2,0,1,0,1,27,1,0,2,38,108,29,2,607,202,405,29,58,19,10,116,0,0,12,1,0,0,78,0,0,1,59,0,0,0,6,1,0,0,25,0,0,1,59,0,0.21,0.26,0.28,0.07,0.25,0.06,0.06,0,3,0.91,0.19,0.15,0.04,0,0.01,0,0.01,0.01,0.02,0.18,0.72,0.54,0.07,0.26,0.01,6.9,25,50,16.4,8.6,2,1,0,16,66.7,0.11,98.71,2.4,-0.36,-0.35,-0.27,-0.27,-12.4,-12,-9.43,-9.4,-1.14,0.19,9,-5.5,-13.8,-8.6,114,64,43,31,19,0,2,7,93,9,0,6.5,36.8,9.7
17,4600000,0,4,138,629,580,178,133,34,3,8,242,35,33,2,6,4,4,2,58,98,15,0,7,2,15,43,0,0,3,219,405,133,14,2199,822,1377,131,264,113,37,545,0,0,0,627,0,0,0,0,0,0,2,0,0,0,0,141,0,0,0,0,0,0,2,0,0.31,0.35,0.42,0.11,0.38,0.06,0.05,0,1.23,0.92,0.28,0.21,0.05,0,0.01,0.01,0.01,0.01,0,0.07,0.64,0.58,0.09,0.16,0.02,10.5,24,48.4,20.7,6.8,7,1,1,90,87.5,0.14,101.39,9.9,0.06,0.05,0.17,0.18,8,6.9,24.43,25.9,-0.42,0.27,79.2,27,8.3,27,411,281,189,119,66,8,14,28,374,50,4.2,11.8,42.4,13.4
