X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"PITCHES","STRIKES",0.99999,0.014602423,0.030340016,0.99405,5.0,0.9926669
"DP%","D_NETDP",0.99999,0.25002617,0.047360003,0.99999,3.0,0.8660045
"D_RPMLV","D_VORP",0.99999,0.0100159645,0.030359983,0.99999,4.807355,0.9949744
"OUT","D_OUTS_EQ",0.99996,8.866191E-4,0.018049955,0.994,3.169925,0.9995366
"PA","PA%",0.99987,0.001245439,0.04084003,0.99984,4.169925,0.99931204
"D_MLVr","D_MLV",0.99968,0.24973309,0.061420023,0.99968,2.0,0.86599475
"PA_PH","G_PH",0.99948,-4.67062E-4,9.3996525E-4,0.99948,2.0,0.99997354
"PA_DH","G_DH",0.9977,0.003934264,0.02599001,0.9977,2.0,0.99687797
"D_PMLVr","D_PMLV",0.99663,0.26433355,0.050740004,0.99663,4.169925,0.8557432
"PA","PITCHES",0.99405,0.019957066,0.03425002,0.98842,5.0,0.9869615
"PA_ROB","ROB",0.99405,0.0023716688,0.016950011,0.99405,3.5849626,0.9958305
"AB","PA%",0.9939,0.0021341443,0.06220001,0.9939,3.807355,0.9958744
"PITCHES","PA%",0.9939,0.021952093,0.09900999,0.98826,5.0,0.9858742
"PA","AB",0.98812,-0.003718257,0.020139992,0.98812,4.70044,0.99591076
"PA","STRIKES",0.98588,8.8351965E-4,0.038780034,0.98218,5.0,0.9924699
"PA%","D_OUTS_EQ",0.98573,5.0252676E-4,0.06165999,0.98573,4.4594316,0.99258626
"AB","OUT",0.97994,-0.011442304,0.02580005,0.97994,4.4594316,0.9956818
"AB","D_OUTS_EQ",0.97989,-0.012097955,0.040090024,0.97989,4.807355,0.9959859
"AB","Batted Balls",0.97965,0.010737658,0.029899955,0.97256,5.0,0.98433346
"PA","D_OUTS_EQ",0.9796,-0.004576683,0.028510034,0.97736,5.0,0.9920568
"STRIKES","PA%",0.9795,-0.0044795275,0.06536001,0.9761,5.0,0.9919574
"PA","OUT",0.97401,-0.010710537,0.013750017,0.97371,5.0,0.99233085
"PITCHES","BALLS",0.97256,0.0044418573,0.035070002,0.9677,5.0,0.98392993
"OUT","PA%",0.97162,-0.014081061,0.04199004,0.97162,4.9068904,0.9928248
"R2","ROB",0.96438,-0.0065762997,0.042250037,0.96095,5.0,0.9853712
"OUT","STRIKES",0.963,-0.012953997,0.025929987,0.95937,5.0,0.98790383
"H","TOB",0.96154,0.0224545,0.055350006,0.95695,5.0,0.96906424
"D_MLV","D_EqA",0.9581,0.40993768,0.12855,0.95247,5.0,0.74037987
"R1","ROB",0.95542,-0.027151883,0.078749955,0.95542,4.9068904,0.99124765
"PA","TOB",0.95359,-0.004140377,0.019200027,0.95143,5.0,0.978637
"TOB","D_EqR",0.9533,-0.0011892915,0.03046,0.94783,5.0,0.9769797
"PA","PA_ROB",0.95317,0.02428323,0.05084002,0.94869,5.0,0.96378773
"TB","D_EqR",0.95312,-0.0053194165,0.028999984,0.94773,5.0,0.9789992
"D_VORP","D_RARP",0.95282,-0.017811596,0.032160044,0.94661,5.0,0.98520637
"PA_ROB","R1",0.95202,-0.025208771,0.04535997,0.95173,5.0,0.9885488
"STRIKES","D_OUTS_EQ",0.94875,-0.026489854,0.037420034,0.94482,5.0,0.98754233
"AB","STRIKES",0.94789,-0.0278458,0.04729998,0.94187,5.0,0.9877934
"PA","ROB",0.94779,0.03309959,0.043439984,0.9431,5.0,0.9563945
"PA","H",0.94653,-0.004586637,0.06356001,0.94375,5.0,0.9752521
"H","Batted Balls",0.94624,-0.012910783,0.028180003,0.9405,5.0,0.9793624
"TOB","PA%",0.94281,-0.009798944,0.0485,0.94261,5.0,0.9760169
"BB","UBB",0.94232,-0.035127997,0.019850016,0.94232,4.70044,0.9886597
"TOB","STRIKES",0.94178,0.007276237,0.018079996,0.93766,5.0,0.96669734
"AB","ROB",0.94151,0.03945142,0.054940045,0.93556,5.0,0.94976765
"AB","PA_ROB",0.94136,0.026335597,0.043680012,0.93556,5.0,0.9565691
"AB","H",0.94029,-0.019855976,0.05662,0.93552,5.0,0.9798704
"TOB","PITCHES",0.94022,-0.016435504,0.05426997,0.93408,5.0,0.97808766
"PA%","PA_ROB",0.9397,0.015529513,0.04016,0.93921,5.0,0.96133786
"OUT","Batted Balls",0.93849,-0.010510325,0.03710997,0.93367,5.0,0.97416645
"OUT","PITCHES",0.93779,-0.008805513,0.024500012,0.93232,5.0,0.9729314
"PA%","ROB",0.93753,0.028731108,0.044889987,0.93227,5.0,0.9533094
"PA_ROB","R2",0.93695,-0.026539564,0.02226001,0.93441,5.0,0.9815751
"SIT_DP","R1",0.93652,-0.02678138,0.02165997,0.93325,5.0,0.98147917
"D_OUTS_EQ","PA_ROB",0.93551,0.03476143,0.03669995,0.93079,5.0,0.9490777
"PA","Batted Balls",0.93493,-0.01315999,0.028209984,0.93069,5.0,0.97369915
"D_RPMLVr","D_VORPr",0.93194,-0.05809319,0.042429984,0.92902,4.9068904,0.9950041
"TB","TOB",0.93096,-0.0056802034,0.056789994,0.92611,5.0,0.96780175
"AB","TOB",0.93094,0.0060652494,0.019060016,0.92755,5.0,0.9617041
"Batted Balls","D_OUTS_EQ",0.92998,-0.022051752,0.04444003,0.92626,5.0,0.9757211
"OUT","PA_ROB",0.92963,0.02327782,0.036190033,0.92636,5.0,0.9520253
"PA","TB",0.92769,8.6152554E-4,0.038259983,0.92503,5.0,0.9627193
"D_RPMLV","D_RARP",0.92693,-0.036065638,0.055400014,0.91882,5.0,0.9813234
"SIT_DP","ROB",0.92631,-0.016347706,0.04863,0.9216,5.0,0.9709056
"H","D_OUTS_EQ",0.92394,0.0036911964,0.08428997,0.91771,5.0,0.959296
"H","PA%",0.92392,-0.024318993,0.05045998,0.9204,5.0,0.9737756
"Batted Balls","PA%",0.9235,-0.024329007,0.045539975,0.92091,5.0,0.9735651
"TB","PA%",0.92181,-0.0017496943,0.072509944,0.91617,5.0,0.9610201
"TB","PA_ROB",0.92179,0.021419644,0.081229985,0.91701,5.0,0.94887847
"AB","PITCHES",0.92132,-0.025261283,0.028069973,0.9151,5.0,0.9729241
"D_RPMLVr","D_PMLV",0.92121,0.20671815,0.040750027,0.91814,5.0,0.8452762
"STRIKES","FB",0.92101,0.057957113,0.13414001,0.91421,5.0,0.9290064
"TOB","BALLS",0.92004,-0.018146336,0.048160017,0.9149,5.0,0.9686002
"PITCHES","D_EqR",0.92003,0.033578455,0.03801,0.91374,5.0,0.94151556
"STRIKES","PA_ROB",0.91965,0.015762985,0.07839,0.91458,5.0,0.9507297
"STRIKES","ROB",0.91965,0.026707053,0.08441001,0.91458,5.0,0.9449566
"STRIKES","R2",0.91864,0.031585276,0.09675002,0.91369,5.0,0.9418358
"D_PMLVr","D_RPMLVr",0.91832,-0.07001251,0.027920008,0.91832,4.169925,0.99414915
"AB","R2",0.91591,0.02789247,0.09465003,0.90887,5.0,0.9423468
"H","STRIKES",0.91576,-0.0049809813,0.073220015,0.91179,5.0,0.95955247
"OUT","ROB",0.91387,0.015971541,0.02797997,0.90838,5.0,0.94757503
"PITCHES","D_OUTS_EQ",0.91365,-0.030361235,0.04771,0.90892,5.0,0.9716024
"PITCHES","R2",0.9135,0.02941084,0.08029997,0.90913,5.0,0.9402602
"H","OUT",0.91341,-0.0045024753,0.07615,0.90591,5.0,0.9580775
"PITCHES","ROB",0.91083,0.022696674,0.035840034,0.90628,5.0,0.94240826
"SIT_DP","PA_ROB",0.91067,-0.03832543,0.06536996,0.90971,5.0,0.97416395
"PA","D_EqR",0.91013,0.031059682,0.031350017,0.90511,5.0,0.9375875
"PA","FB",0.9099,0.035978496,0.079680026,0.90199,5.0,0.9348377
"AB","R1",0.90922,0.025247216,0.049319983,0.90302,5.0,0.94019824
"D_PMLVr","D_RAP",0.90876,0.19846773,0.06898004,0.90619,5.0,0.8427884
"TOB","PA_ROB",0.90843,0.003720045,0.045430005,0.90599,5.0,0.9511624
"D_VORPr","D_RAP",0.90836,0.19438696,0.05923003,0.90278,5.0,0.8449693
"PITCHES","PA_ROB",0.90714,0.0058416724,0.026760042,0.90221,5.0,0.94936734
"PA","R2",0.90499,0.0024350286,0.04653001,0.9006,5.0,0.95002896
"TB","ROB",0.90375,0.018402755,0.07205999,0.89912,5.0,0.94092894
"TB","STRIKES",0.90324,-0.0066313744,0.038889945,0.89921,5.0,0.9538718
"H","D_EqR",0.90185,0.01562041,0.040199995,0.89254,5.0,0.94139767
"STRIKES","D_EqR",0.90008,0.042265773,0.045030057,0.89,5.0,0.9261826
"D_OUTS_EQ","ROB",0.89982,0.008200407,0.015850008,0.89341,5.0,0.9442561
"D_VORP","D_RAR",0.89977,-0.050275683,0.044939995,0.89684,5.0,0.9747029
"D_VORPr","D_VORP",0.89837,0.12477887,0.043419957,0.89351,5.0,0.8795403
"AB","TB",0.89685,-0.01874429,0.030149996,0.89363,5.0,0.9568669
"D_RPMLVr","D_MLV",0.89566,0.1888578,0.057169974,0.8911,5.0,0.8407153
"D_RPMLVr","D_RPMLV",0.89498,0.12337321,0.04534,0.89498,4.70044,0.87841153
"AB","D_EqR",0.8944,0.052498758,0.050449967,0.88801,5.0,0.91755176
"TOB","OUT",0.89381,-0.0012320876,0.023000002,0.89009,5.0,0.9460666
"TOB","D_OUTS_EQ",0.89348,-1.9913912E-4,0.056949973,0.88742,5.0,0.94534606
"TB","OUT",0.89215,0.007877409,0.04615003,0.88664,5.0,0.9403577
"H","PITCHES",0.89188,-0.0020763278,0.06311995,0.88485,5.0,0.9454926
"PA%","D_EqR",0.89152,0.018797517,0.05885005,0.88461,5.0,0.9341962
"D_VORPr","D_PMLV",0.89149,0.18042189,0.05489999,0.8865,5.0,0.84324855
"H","TB",0.89076,-0.04086417,0.039879978,0.88736,5.0,0.9652068
"D_PMLVr","D_VORPr",0.89045,-0.08824009,0.05456996,0.88402,5.0,0.9892877
"AB","FB",0.88897,0.015226662,0.050800025,0.88244,5.0,0.9347424
"D_PMLV","D_RAP",0.8889,-0.06629592,0.071119964,0.88572,5.0,0.97734123
"PA","R1",0.88833,-0.0052115917,0.035369992,0.88269,5.0,0.9452733
"TB","PITCHES",0.88821,-0.017616987,0.038299978,0.88381,5.0,0.95174944
"TOB","R2",0.88761,0.01572448,0.06595999,0.88031,5.0,0.9337481
"TOB","ROB",0.88679,0.004299104,0.03893,0.88142,5.0,0.93940985
"BALLS","STRIKES",0.88512,-0.027154684,0.038590014,0.88095,5.0,0.9551307
"BALLS","R2",0.88391,0.051001847,0.08625001,0.87878,5.0,0.912638
"OUT","R2",0.88299,-0.0026740432,0.058420002,0.87881,5.0,0.94109726
"D_RPMLV","D_RAR",0.88256,-0.063323796,0.027420044,0.87389,5.0,0.9725656
"PA","BALLS",0.88221,-0.024615347,0.035480022,0.87652,5.0,0.9522738
"TOB","Batted Balls",0.88148,0.0020842552,0.055590034,0.87656,5.0,0.937761
"TB","D_OUTS_EQ",0.88104,1.8203259E-4,0.048860013,0.87793,5.0,0.93854034
"D_VORPr","D_RPMLV",0.87982,0.10809243,0.04484999,0.87285,5.0,0.87848026
"D_EqR","PA_ROB",0.87904,0.02800417,0.045510054,0.87311,5.0,0.92251605
